id,user_id,created_at,location_id,submitted_at,distance,delivered_at
24181,828,2017-11-01 00:06:35.555895,28,2017-11-01 00:10:51.20083,3.9119951537348783,2017-11-01 01:01:27.652883
24184,2953,2017-11-01 00:19:00.26967,14,2017-11-01 00:22:34.790272,2.2541295231630905,2017-11-01 00:58:40.952242
24193,818,2017-11-01 00:39:18.89858,11,2017-11-01 00:44:07.539061,1.4079402462067034,2017-11-01 01:13:50.328862
24191,2757,2017-11-01 00:37:42.129762,15,2017-11-01 00:54:19.363812,1.4568585680402262,2017-11-01 01:22:48.815373
24223,1898,2017-11-01 01:14:02.954165,5,2017-11-01 01:16:31.267069,1.0383948738998932,2017-11-01 01:36:35.059431
24219,1636,2017-11-01 01:09:53.446737,5,2017-11-01 01:24:14.376847,1.8009801358869306,2017-11-01 01:44:23.162311
24230,2696,2017-11-01 02:08:55.878415,14,2017-11-01 02:27:17.095352,0.27025037608320834,2017-11-01 03:04:30.25126
24234,630,2017-11-01 02:24:19.315735,5,2017-11-01 02:31:17.538668,1.5890947134137272,2017-11-01 02:51:12.079171
24233,2589,2017-11-01 02:22:55.441107,5,2017-11-01 02:39:42.584668,1.5890947134137272,2017-11-01 03:14:37.761976
24237,3257,2017-11-01 02:43:17.543677,5,2017-11-01 02:45:15.487566,0.8124041838142729,2017-11-01 03:12:30.914513
24236,772,2017-11-01 02:41:43.657423,5,2017-11-01 02:50:01.106121,0.772574374008854,2017-11-01 03:14:26.504441
24240,3257,2017-11-01 02:55:25.998449,5,2017-11-01 03:00:42.212071,0.8124041838142729,2017-11-01 03:23:35.757574
24243,3258,2017-11-01 03:00:14.081722,5,2017-11-01 03:05:31.995938,1.439130938288015,2017-11-01 03:26:40.802904
24251,322,2017-11-01 03:09:50.891976,5,2017-11-01 03:11:18.177112,2.014755389865399,2017-11-01 03:33:49.598745
24249,1632,2017-11-01 03:08:20.003234,11,2017-11-01 03:12:49.981122,7.7425968371046086,2017-11-01 03:55:22.833626
13077,353,2017-10-13 03:54:55.39749,5,2017-11-01 03:15:43.821244,1.6585460427623802,2017-11-01 03:55:42.827847
24252,3260,2017-11-01 03:13:57.990509,11,2017-11-01 03:19:47.406562,0.7813042604386852,2017-11-01 03:52:34.136076
24254,1667,2017-11-01 03:21:02.927709,5,2017-11-01 03:39:16.582049,1.0006268234831264,2017-11-01 03:58:18.099817
24255,2994,2017-11-01 03:37:16.52488,5,2017-11-01 03:40:26.889352,0.8512302480360124,2017-11-01 03:59:28.124677
24266,3179,2017-11-01 04:02:00.882399,11,2017-11-01 04:07:59.367727,1.3127201154426111,2017-11-01 04:34:17.410016
24268,3262,2017-11-01 04:04:23.193612,5,2017-11-01 04:11:02.231143,1.0006268234831264,2017-11-01 04:40:32.163422
24272,3264,2017-11-01 04:25:18.582703,5,2017-11-01 04:31:35.358341,0.9111940729674399,2017-11-01 05:01:52.412986
16614,1589,2017-10-19 02:38:39.579455,5,2017-11-01 04:35:44.923929,0.772574374008854,2017-11-01 04:46:35.391794
24277,2895,2017-11-01 04:38:34.240307,5,2017-11-01 04:40:04.31645,1.0190753876847265,2017-11-01 04:56:27.53391
24275,3263,2017-11-01 04:37:45.479693,5,2017-11-01 04:40:50.851688,1.0006268234831264,2017-11-01 05:01:05.465027
24271,3058,2017-11-01 04:24:10.011882,5,2017-11-01 04:42:00.714337,1.0006268234831264,2017-11-01 05:01:05.465027
24274,121,2017-11-01 04:35:43.780884,5,2017-11-01 04:44:32.340356,1.0006268234831264,2017-11-01 05:03:47.12943
23774,562,2017-10-31 04:04:33.899313,5,2017-11-01 04:46:37.086324,1.0006268234831264,2017-11-01 05:11:35.667201
24278,1347,2017-11-01 04:44:09.560381,5,2017-11-01 04:46:54.664299,1.6585460427623802,2017-11-01 05:25:04.772549
24280,934,2017-11-01 04:53:12.955379,5,2017-11-01 04:53:28.020252,1.0006268234831264,2017-11-01 05:16:34.796563
24297,2682,2017-11-01 12:58:47.976984,5,2017-11-01 13:01:00.645774,7.022741433758907,2017-11-01 13:28:53.358255
24306,401,2017-11-01 13:24:30.918838,5,2017-11-01 13:29:24.992299,2.0760622171694307,2017-11-01 13:44:34.410417
24323,3269,2017-11-01 14:36:56.802204,5,2017-11-01 14:59:44.193963,1.5442629653716506,2017-11-01 15:20:52.457031
24329,2226,2017-11-01 15:07:09.818403,5,2017-11-01 15:10:43.491845,1.1153088908563653,2017-11-01 15:25:45.582305
24331,3259,2017-11-01 15:15:50.905832,29,2017-11-01 15:21:24.410998,3.5894719293222757,2017-11-01 15:43:24.239727
24343,226,2017-11-01 15:30:48.948179,5,2017-11-01 15:33:53.290152,0.24990372898649146,2017-11-01 15:47:50.448025
24345,2192,2017-11-01 15:35:29.251735,11,2017-11-01 16:08:15.809173,8.185322253768286,2017-11-01 16:57:58.302522
24358,1029,2017-11-01 16:04:32.787828,11,2017-11-01 16:08:30.270697,2.2676578885532814,2017-11-01 16:47:31.911535
24330,574,2017-11-01 15:12:01.635723,14,2017-11-01 16:09:23.550884,3.3767592316810457,2017-11-01 16:44:36.161146
24351,412,2017-11-01 15:44:38.918216,14,2017-11-01 16:09:45.599786,3.3767592316810457,2017-11-01 16:44:36.161146
24364,3271,2017-11-01 16:08:43.012634,26,2017-11-01 16:11:12.090981,1.385942651545485,2017-11-01 16:37:37.102374
24367,2478,2017-11-01 16:10:04.444643,5,2017-11-01 16:11:20.047016,1.6885548189633135,2017-11-01 16:36:27.075507
24369,316,2017-11-01 16:11:28.768209,26,2017-11-01 16:12:16.55392,3.6667432019631967,2017-11-01 16:38:11.976737
24347,2146,2017-11-01 15:42:22.155754,26,2017-11-01 16:20:07.51792,2.110967447086197,2017-11-01 17:04:20.355577
24391,3192,2017-11-01 16:21:22.472969,13,2017-11-01 16:23:48.392045,3.3341126341885547,2017-11-01 16:43:55.405405
24394,28,2017-11-01 16:22:11.740913,15,2017-11-01 16:25:08.247064,3.556700501299518,2017-11-01 17:10:08.355479
